group,week,session,title,flag,deadline,content,lesson,example,assignment,readings,note
Week 1: Syllabus Day & Stylized Facts of Cities,Week 1,,Syllabus day,,,,,,,,,
Week 1: Syllabus Day & Stylized Facts of Cities,Week 1,,Installing R & Rstudio,,,,,,,,,
Week 1: Syllabus Day & Stylized Facts of Cities,Week 1,,Installing Rmarkdown,,,,,,,,,
Week 1: Syllabus Day & Stylized Facts of Cities,Week 1,,Stylized Urban Facts,,,https://guerramarcelino.github.io/Econ414/Lectures/Lec1/lec1,,,,,
Week 1: Syllabus Day & Stylized Facts of Cities,Week 1,,Intro to tidyverse,,,,,,,,,
Week 2: Agglomeration Forces,Week 2,,Dataviz with ggplot2,,,,,,,,,
Week 3: Monocentric City Model I,Week 3,,The Monocentric City Model,,,https://guerramarcelino.github.io/Econ414/Lectures/Lec3/lec3,,,,,
Week 4: Monocentric City Model II & Regulation,Week 4,,The Monocentric City Model - Extensions,,,https://guerramarcelino.github.io/Econ414/Lectures/Lec4/lec4,,,,,
Week 5: Growing and Declining Cities & The Great Divergence,Week 5,,Urban Growth and Decline & The Great Divergence,,,,,,,,,
Week 5: Growing and Declining Cities & The Great Divergence,Week 5,,Tidycensus,,,,,,,,,
Week 6: Spatial Equilibrium Across Cities,Week 6,,Mapping with tmap,,,,,,,,,
Week 7: Midterm Week,Week 7,,Midterm Week,,,,,,,,,
Week 8: Urban Transportation,Week 8,,Urban Transportation,,,,,,,,,
Week 9: Housing,Week 9,,Housing Demand and Tenure Choice,,,,,,,,,
Week 10: Local Government,Week 10,,Tiebout Model,,,https://guerramarcelino.github.io/Econ414/Lectures/Lec11/lec11,,,,,
Week 11: Lab Quiz Week,Week 11,,Review Session,,,,,,,,,
Week 12: Neighborhood Choice,Week 12,,Neighborhood Choice,,,,,,,,,
Week 13: Neighborhood Effects,Week 13,,Neighborhood Effects,,,,,,,,,
Week 14: Exploratory Spatial Data Analysis (ESDA),Week 14,,Exploratory Spatial Data Analysis (ESDA),,,,,,,,,
Student Photo Challenge,Student Photo Challenge,,Photo Challenge,,,,,,,,,
