country,iso2c,iso3c,year,status,lastupdated,life_expectancy,access_to_electricity,co2_emissions,gdp_per_cap,region,capital,longitude,latitude,income,lending
Afghanistan,AF,AFG,1999,,2025-07-01,54.532,NA,0.0691630566199303,NA,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2015,,2025-07-01,62.27,71.5,0.246706024551365,565.569730408751,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2001,,2025-07-01,55.511,9.3,0.0465729492262171,277.118051443941,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2002,,2025-07-01,56.225,14.1,0.0440777829029563,338.139973643387,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2013,,2025-07-01,62.188,68,0.262469648389334,580.603833333096,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2000,,2025-07-01,55.005,4.4,0.0504760801948225,308.318269746638,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2014,,2025-07-01,62.26,89.5,0.238642815009995,575.146245808546,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2011,,2025-07-01,61.25,43.2,0.388742453073337,525.42698276582,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1998,,2025-07-01,52.487,NA,0.0741336271677719,NA,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1997,,2025-07-01,53.212,NA,0.0750375662032016,NA,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1995,,2025-07-01,52.103,NA,0.0857268287354924,NA,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1996,,2025-07-01,52.83,NA,0.0797826255599618,NA,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2012,,2025-07-01,61.735,69.1,0.319626607745266,568.929021458341,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2003,,2025-07-01,57.171,19,0.0443407305372896,346.071627096223,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2008,,2025-07-01,59.708,42.4,0.144751528002023,417.647282647498,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2009,,2025-07-01,60.248,48.3,0.221465726059917,488.830652491949,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2010,,2025-07-01,60.702,42.7,0.275380974794698,542.871030476037,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2004,,2025-07-01,57.81,23.8,0.03789792931894,338.637273888197,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2005,,2025-07-01,58.247,28.7,0.0518878290280668,363.640141436773,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2006,,2025-07-01,58.553,33.5,0.0553923376777949,367.75831169358,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2007,,2025-07-01,58.956,38.4,0.0775612303767694,410.757728879097,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Africa Eastern and Southern,ZH,AFE,2005,,2025-07-01,54.8076807136336,23.449539355606,1.15243439029391,1301.66161668619,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,2008,,2025-07-01,57.2401063228798,25.9088451344457,1.19212343708742,1424.16219679945,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,2007,,2025-07-01,56.4843531784534,26.7951445862147,1.16052182044321,1402.25924781269,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,2009,,2025-07-01,58.0955271436463,26.1878464781111,1.10809144303788,1398.07772680316,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,2002,,2025-07-01,53.2067443343026,21.5486466155625,1.06914985608402,1221.24592539704,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,1995,,2025-07-01,51.4820566813357,NA,1.11724840987468,1154.87494174794,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,1996,,2025-07-01,51.3531898360738,NA,1.12870972668426,1186.07296437005,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,2010,,2025-07-01,58.827279206282,27.414953756332,1.10758741380866,1431.21195789305,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,2001,,2025-07-01,52.8755360536287,19.9442774203583,1.06400525328806,1207.22915865621,Aggregates,,,,Aggregates,Aggregates
